,asin,overall,reviewerID,reviewText,summary,ReviewTag
2755,B00001T38Y,2.0,A3VWZK92OIG2JE,Too big. And I have a really big head.,Two Stars,Negative
17764,B00007FPNN,1.0,A24H69K81H4U06,"These earrings were a complete disappointment, they came in tarnished and looked like they came out of a $.25 candy machine.  Stay away from this jewelery, unless you want to really piss off your significant other.  Seriously, the items look NOTHING like the pictures and if I had to bet, are probably knock-offs of the ones pictured here on Amazon.  Thankfully Amazon has a great return policy, but if I were you, just buy something else.",What a complete disappointment.,Negative
4894,B00004VWJ3,1.0,A1M6AA6VTHNHTV,Every single size 12 birkis has fit like a glove. This peticular style was way smaller than any other. Unable to use.,Size different,Negative
17766,B00007FPNN,1.0,A2RJZZW69FARB1,"This product was anything like I spected. It was not silver, it was stained, and the stones were lighter than the image. I asked for a refund.",DO NOT BUY THEM,Negative
17767,B00007FPNN,1.0,A1HVE0K23IMERA,"As a long time,satisfied customer of Amazon.com I was shocked when I received these earrings purchased for my wife. The quality was very poor. The silver was badly tarnished and the stones were so pale in color they did not appear to be blue topaz as advertised. I hope for a full refund as I am not at all comfortable with the supplier of this item to Amazon.com

Wayne Snow",Disappointed,Negative
17768,B00007FPNN,1.0,A2I67JCZ5H4MLS,"The image of the product is far better that the product itself... I know this is a cheap earring, but you can get fooled by the picture...

The real thing seems like made of plastic, and the stone is not nicely cutted, and protudes a lot from the earring body (this is why there's no pictures from another perspective of the earrings).

My advice, don't waste your money on this.",Not as expected,Negative
17769,B00007FPNN,1.0,AX1A1K3CHWK2T,"Was planning to give this to my wife as part of an anniversary gift.  However, the silver was tarnished making it look really cheap.  Planning to return this and am now empty handed for an anniversary gift :(",Really disappointed,Negative
12476,B000072US4,2.0,A2TFIW62FLYDNM,Id received advise to order a size smaller than my normal size so I ordered a 13. They were still invredidly big.(at least one size too big),Way too big,Negative
23629,B0000868IP,2.0,A126FNG5C0N0O9,"Every single Bali bra I tried has either been uncomfortable or the wrong fit. FYI, a 38DDD in Playtex is apparently a 38D or DD in Bali... Spilled out in every direction in the 38DDD Bali bra.",Never buying Bali again!,Negative
2764,B00001W0J3,2.0,A391AF2509N2Z8,"My 18 month old daughter was very uncomfortable in this outfit.  I cut the elastic on the arms for extra room, but the material was still too scratchy.  I thought it ran really small, as she is very petite as it is.  The price and look were great, but not practical for a young toddler.",My daughter cried her eyes out,Negative
23630,B0000868IP,1.0,A20VTD2HF8EMYL,"I'm a 32DDD. This bra lift and seperates very well and the band has four rows of hooks. But the cup gives a very pointy shape to the breast. The material feels scratchy as well. If you want to look like Madonna in the cone bra getup, then this is the bra for you.","Supportive but pointy, scratchy material",Negative
10606,B000072US4,2.0,A13T8XZC67S9IH,I thought I answered this question a few weeks ago. I ordered a size too large.....however my problem with the sneakers is that I was surprised how thin the sole is I had owned converse sneakers in the past with much thicker soles.,I thought I answered this question a few weeks ago ...,Negative
6418,B00006CFCY,2.0,A2XWVL5REI8HHG,"Had to give to a friend, but she looked great in it.  Thought this was the Maleficent costume but realized it was the Snow White Evil queen costume.",Did not fit,Negative
2768,B00001W0J3,1.0,A2SCY70HWQ8FF9,"I was very upset when receiving this costume!! It looked NOTHING like the picture!!!  No hood, short sleeved, very cheap.  Now I have to find something else for my 5 month old in 3 weeks and have the hassle of sending it back.",False Advertising!,Negative
4892,B00004VWJ3,2.0,A1WBWNJRKSM7P5,"The product looks good and sturdy!  HOWEVER, one has to have wooden feet (or feet made of steel) in order to feel comfortable while wearing these clogs!  There is NO cushioning inside the clogs and no flexibility whatsoever!  Even wearing a pair of heavy duty socks doesn't help much!",Clogs for Feet Made of Wood or Steel!,Negative
2770,B00001T38Y,2.0,AIS6XSY4VFOIF,Cheap plastic and flimsy. You get what you pay for.,Two Stars,Negative
10609,B000072US4,1.0,A3Q2LWISIMBCOP,"After couple times of wearing, shoes have lost their color and they are not original Converse. Poor quality and  I do not recommend to buy it. I should require a money back.",Poor quality and I do not recommend to buy it,Negative
20148,B0000865JR,2.0,A227JUJUG3OJ5D,Didnt fit as measured and fabrics wasn't soft,Two Stars,Negative
26060,B0000891KM,1.0,A35I7KOAXYEYM9,"I'm well within the stated height/weight-limits, but these tore on the thigh the first time I was putting them on. I'd read similar reviews on here and went especially slowly (and I even trimmed all my nails first). Ultimately, a disappointment.",a disappointment.,Negative
19246,B00007GDG5,1.0,A3CB055IEDZF82,"I got this for someone for Xmas . They just let me know the checkbook holder is not big enough, nor is the card holder. May have to send back. Do they not know what size checks and credit cards are?",Not too great,Negative
12481,B00006XXGO,2.0,A3RL56XC5JVYDR,The product has a fabric damage. There's the right shoe  its bigger than the left. I cant use it that way.,Fabric damage,Negative
10614,B00006XXGO,1.0,A287DQPH6H1S86,Received the wrong size AND the wrong color.,One Star,Negative
14039,B00006XXGO,1.0,A35ZIV6QXQGRUV,"They are NOT unisex. They are mens. When I recieved my package, they were huge on me.",Not unisex,Negative
20984,B0000865II,2.0,A16VEEQBVJ87P5,entirely too small!  completely unable to wear these!,entirely too small! completely unable to wear these!,Negative
23623,B0000868IP,2.0,A1XEGY62BLOB0A,The bra is pretty but I just cant wear underwires. They won't take product back as it is a undergarment...wish I would have known that before I spent money on it!,am not allowed to send back,Negative
4897,B00004VWJ3,1.0,AYQSD0D1EMZDR,Ive had these pair in the past. Buy beware as the ones I received were fake Birkenstocks. These are definitely going back.,Fake Birkenstock,Negative
4907,B00004VWJ3,1.0,AH0FNSL867LMZ,"Did not fit. Needed one size larger. Wife threw box away,  did not return. Never wore",One Star,Negative
20995,B0000865JR,2.0,ASK754GPQT5GW,"I purchased a larger size to ensure fit, but was disappointed when they didn't.",but was disappointed when they didn't,Negative
6414,B00006CFCY,2.0,A3O2RA3X74ROAG,"Dress was ok but the headpiece was very poorly made.  The edge that is supposed to line your face was cut crooked and the crown is very cheaply made.  The headpiece was also a bit small.  The material was stretchy but if I pulled it down in front so my whole face would show, then the back with that was attached to it rode up.  Wasn't sure exactly how to make the collar flaps pin down in the front of the costume.  Returned the item.  Was disappointed that Disney put their label on this.",poorly made,Negative
2719,B00001T38Y,1.0,A29BWY4S6OH1YG,"Cheap. Plastic. There is a front and back that fits together with Velcro. It's huge, and nearly impossible to look down without the eye-holes drifting out of your gaze. It is made of cheap plastic, but I don't know what I expected for $30. Someone has to pay Disney and by proxy George Lucas for the 4Billion USD. I would have given it 2 stars except it arrived dirty, scuffed and dented. It looks like someone used it once for Halloween and returned it. Then the seller repackaged it and sold it to me. Garbage that my kids recognize as STAR WARS, but any sort of collector would vomit. Look elsewhere. And spend the money. I wish I had read my own review before I purchased this item.",KEEP LOOKING!!!,Negative
27816,B000089V7W,1.0,A3EABFWWDUCFKI,It said for toddlers and they were way too big,One Star,Negative
14078,B00006XXGO,2.0,A20TZ8VVR4JD54,Too big,Two Stars,Negative
17737,B00007FPQZ,1.0,A27S85TOT20BUX,This ring is horrible!!!!!!! The gold looks worse than a $10 ring and so cheap. I've bought cheap rings before but this one would be to embarrassing to wear!! I've never seen a ring look this cheap and I've ordered cheaper rings from you and loved them. I absolutely want a refund or my account credited. Let me know right away how I can do that. I will send this ring back asap!!!!!Not to mention that I ordered a 9 and got a 5!!!!!!,Concerning the PalmBeach ring,Negative
6415,B00006CFCY,1.0,A2BUY7NFVHLU3U,"This was a piece of crap! Only one size, which is huge! It had a fade mark right across the front! I had to return it and was very disappointed!",Crap!,Negative
7716,B00006XXGO,2.0,A22WCBRTI6JNF2,Wet feet in any weather.,Meh...,Negative
27811,B000089V7W,1.0,A1LLFSN3CJPBOC,purchased kids converse size 3 received adult male size 3,kids converse,Negative
23611,B0000868IP,1.0,A1UK8W1DW0PZLA,"first the real product different from what the picture shows
secondly, when wearing it, it is very uncomfortable, I can't stand a second
so return it immediately",very uncomfortable,Negative
17741,B00007FPQZ,1.0,A3KIM2OFVC7OX1,I bought this direct. It looked really pretty for a couple of months.  Now I wouldn't let my 13yr old daughter be caught wearing this piece of junk!,Bad deal!!!,Negative
10592,B00006XXGO,2.0,A120T3FMNC90E7,"I remember these shoes from childhood.  I have a pair in blue that are 1/2t size larger. A little too long for me.  So, I purchased these 1/2 size down.  The length is perfect, but the width is a little too narrow for me to frolick for very long.  Too bad - I'd love to wear them all day, but can really only get about a couple of hours.",Wish they really fit.,Negative
17743,B00007FPQZ,1.0,AOC2HUGT6MVPB,the ring changed colors real fast it was gold at first then whent to a rose color and the stone was lose ya need to give me my money back for this item,it was a bad ring,Negative
19251,B00007GDAL,1.0,A2VJH25JMBTJDB,"My very-standard-size US drivers license does not fit in the ID section!  The stitching is so poor, in the area that holds credit cards, that some cards went very deep into the pockets and others stuck out out of the pocket so far that cards can not be viewed. (The cards are  supposed to sort of cascade (for lack of a better word) in such a way that the top of each card can be seen and the desired card can be readily pulled out.)  When the wallet is snapped shut the change purse pops open!  (Oops, all my coins on the floor!)  The area for currency is very deep making it difficult to see and draw out US dollars - although it might be suitable for non-US currency.  The exterior leather is acceptable but the interior vinyl is cheap and does not seem as though it will wear well. It is so bad I wonder if it is a knock-off because Buxton products are usually fine.  I was very dissapointed and am returning it.",Terribly made,Negative
4903,B00004VWJ3,1.0,A3OYYEG7GK18UG,"Not like the one I purchased before, it's more like narrow size, I want a regular size not narrow",Not like the one I purchased before,Negative
26051,B0000891KM,2.0,A1HINJO7F4Z2L7,"I do not know if I needed a larger size, but it was smaller than my normal size, and ripped the second time I put them on, it then continied to rip all down my leg. Not happy.",Not happy.,Negative
17747,B00007FPQZ,1.0,A18I65HS5V12WN,"The ring is fake. I haven't even had this for half a year, and the ""gold"" has faded on the sides. Oh, and it doesn't even look real.",RIP OFF,Negative
7710,B00006XXGO,1.0,A1U7OCG46OCZ7K,A bit laege,One Star,Negative
26052,B0000891KM,1.0,A1MMTGGW5TBRXP,The pair I received was defective.  When I pulled them up one leg literally tore apart. I got them specially for an interview and I was unable to wear them. Horrible!,Horrible!,Negative
14064,B00006XXGO,1.0,A1AAITIYL6LVS1,too small,too small & tight of fit,Negative
14063,B00006XXGO,2.0,A30GM9LYBOZ8MN,we returned them. Too big.,Two Stars,Negative
27798,B000089V7W,2.0,A1K3S379V8HGJT,Too narrow should come in a wide,Two Stars,Negative
26053,B0000891KM,1.0,A1SFDNFFBCQB70,"Very nice color, however these hose came out of the package riddled with holes! I will be contacting the company to complain! Sorry that I gave Hanes another chance - stick with Calvin Klein hose, they're much sturdier!",Full of holes right out of the package,Negative
7707,B00006XXGO,2.0,A3E14YZEUR4QSR,"I love the style and fit of the shoes. However, when I received these shoes, there was a gooey substance all over the top of one shoe and side of another. I have struggled to get it off.",I love the style and fit of the shoes,Negative
12474,B000072US4,2.0,A22AUOB2MP0QBF,"I normally wear a size 13 shoe, so that's what I ordered. When I tried them on, there was at least an inch between my big toe and the tip of the shoe. If you do decide to order these, make sure you down-size.",Too large,Negative
23619,B0000868IP,1.0,A1PTGGJDFP4NJR,"The band fit true to size, but the bra was constructed HORRIBLY. When worn it gave me a ""squished"" version of torpedo boobs. HATED IT. Obviously not built for women who have larger bra sizes.","Band was true to size, but the bra itself was HORRIBLY shaped.",Negative
20146,B0000865JR,1.0,A3IHBU0MEIAPRH,"Runs extremely small, I ordered two sizes up so they wouldn't be extremely tight. I opened them and they would fit my 15 year old who is a 00. They also had several small runs in them that if I even tried putting them on would have surely spread.",Runs small,Negative
23621,B0000868IP,2.0,A7UDKEEFCENSE,I found the bra to be very supportive (I'm a 32D) but I found that it gave my breasts a very pointed look which was very strange under clothes. It also made them seem much smaller. Great support but because of the shaping I returned it.,Nice support but strange shape.,Negative
20144,B0000865JR,1.0,A1MR3DFX6HQMQN,"I am 5'9"" and weight about 190lbs. according to Berkshire's size chart a 1x-2x size is what I needed. NOPE. Not even close! I couldn't get these up past my knees...maybe if I really pulled & stretched them out, but the crotch would never have been higher than my upper thighs and they would have instantly run if I'd really stretched them that hard. WAY TOO SHORT. Total waste of money.",Size Chart is Completely Wrong. Tall Women Don't Waste Your Money!,Negative
17875,B00007GDDD,2.0,A384QVBE8UHB1C,was what I was looking for but one of the closures it impossible to snap and the cards fall out often.  Disappointed.,Disappointed.,Negative
13923,B00006XXGO,2.0,A15KUVVFQVFP70,too large,Two Stars,Negative
10675,B000072US4,1.0,AI00V9ER738OP,2 sizes to big 8 fit like a 10,One Star,Negative
23804,B000087S01,1.0,A2D8T8M701L1W5,I am completely disappointed. The color shown is not what I received now I have to send them back and hope I receive the right pair in time for an important event in attending. ,I am completely disappointed. The color shown is not what I received ...,Negative
3100,B00001W0F2,2.0,A3QM42WU251SU2,My son received this for Christmas and just after a couple of days it begin to tear around the collar.,My son received this for Christmas and just after a ...,Negative
24710,B0000891KM,1.0,A6XMS33WXGOAY,"I don't know who these are made for, but it's definitely not for people with thighs.
I used the sizing chart (I'm 5'2"" and 125 lbs) and picked a size AB, which I thought would be big enough, since I've bought the same thing in stores with no problem.
Well, I was wrong! The leg portion fits fine, until I get to mid-thigh, and the waistband doesn't stretch at all!

I'll absolutely be returning them, if I can.",I Don't Have Barbie Legs!,Negative
10762,B000072US4,1.0,A2WY5IPPV5AHVP,"I'm a huge fan of Chucks, but I've gone through 5 pairs of the same black ones in just over a year. The quality is absolutely horrible. Every single pair has experienced the same problem. The bottom of the sole at the toe separates completely. Then it will catch in the ground or let water in. I finally quit buying new ones and tried to repair my old ones.on the picture you can see where I used silicone to try and reattach the sole. This pair lasted about 3-4 months.",Love/Hate,Negative
3103,B00001W0F2,2.0,A1AXELVMX38W0M,Nice but the material is cheap. It was a good price and I didn't plan on reusing it however the knee tore before we were done trick or treating.,Nice but the material is cheap,Negative
6481,B00006CFCX,2.0,A18IJYHVOI4V0V,The head piece that comes with it is ridiculous I am returning the costume.,Two Stars,Negative
6482,B00006CFCX,2.0,A1JEUCJNI2AVD9,The gown was perfect but the Head Piece was trash... Very disappointed,Two Stars,Negative
13777,B00006XXGO,1.0,A3V2K4HQ4R9QKP,Totally annoyed that the Women's shoe was delivered in a Men's size.,Sizing is terrible,Negative
26150,B0000891KM,2.0,A24S1ONIAUA6UO,just didn't fit,Two Stars,Negative
3108,B00001W0F2,1.0,A19R2UTB43JBJB,Im not happy with the quality of this costume. The chest muscles are literally a piece of foam u put in between the costume and the clothes under...the mask is cheaply made and fits too tight against a child's face ...the mouth hole is too small. .,"Cheap quality, do not recommend",Negative
11476,B000072US4,1.0,A3I4OZ8YO7IUAM,Disappointed in fit of these. About 3 sizes too big.,One Star,Negative
18016,B00007GDAL,1.0,A1SGQGSJ42E8F7,I had a Buxton billfold for years and it was starting to get worn out. I ordered a new one at Christmas and to my disappointment the clasp on the coin section is plastic not metal.  Two months later the clasp broke off and there is no way to close the coin section. Very disappointed with the quality.,Poor clasp,Negative
23811,B000087S01,1.0,A32BVDVLWUAQ80,this product is no to my foot,One Star,Negative
7501,B00006XXGO,1.0,A39VB1ILOX425L,"Cheap material, not confortable don't waste your money",not confortable don't waste your money,Negative
24708,B0000891KM,1.0,A1851F3VJ24NT5,runner was present when I opened the package,One Star,Negative
10769,B00006XXGO,2.0,ACQ3LVJ4AVY1Y,i got the wrong size. i think you should also order a size or half a size smaller than your normal size.,i got the wrong size. i think you should ...,Negative
4764,B00004U3LF,1.0,A37U6HD0PVDYWB,"Made of very thin material and way to small for my husband (6'3""). I would not recommend for anyone who is over 6' or if your looking for a costume to wear in colder weather.",Returned,Negative
27493,B000089V7W,1.0,A2PS2QWV4LW1XV,"These are either fake or factory rejects! Part of the word CONVERSE on the bottom of the back of the shoe is missing on both shoes. For the price they should be legit but they aren't. Also, everyone says that real Converse run big but these run small. Don't buy!!",Poor Quality,Negative
18022,B00007GDAL,2.0,A3BNHWFGJZM8QN,"Although the style was just what I wanted, the wallet itself , although it was leather on the outside , it was plastic on the inside and really cheap looking. I used to love Buxton products, will never buy again. so disappointed!",Plastic interior,Negative
3118,B00001W0GC,1.0,AGWA8PFJ1CBNG,Poor costume quality and the hat/ears is WAY too small for a 2 year old.  I wasn't expecting much but it looked nicer online.  It will hopefully hold up for the one night it needs to...,Chincy,Negative
3119,B00001W0GC,1.0,A2T43HLFU6AV1R,This costume is not the correct size that it is labeled ass! Like 2 sizes smaller than what it actually is tagged as. No good. Had to return it.,Wrong Size!!!,Negative
7487,B00006XXGO,1.0,A13WZN1F570QD8,"Converse Chuck Taylors, often mentioned as a good option for a minimalist shoe, are quite the opposite. The toebox is far too small, way to narrow and cramped for your toes to spread out. There were some Loose Fit Oxes once upon a time, but Converse refuses to make them anymore. They want to crush our feet into some narrow ideal foot shape for reasons beyond my comprehension. I have also read that the soles separate very easily from the main shoe now with the new models So these are utter crap now.

TIP: Avoid Vans because while they allow your foot more room, your heel will slide in and out of the shoe. You can use Feiyues, but there are no solid black styles. However they are the most comfortable, and will not allow your heel to slide in and out.","NOT a good minimalist shoe option. For people with narrow, tiny feet only!",Negative
6486,B00006CFCX,1.0,A35JBGUPG9BJLI,It wasn't what I expected.,One Star,Negative
3123,B00001W0GC,2.0,AO1GMMW36N1N3,"My rating is low to get the attention of the customer due to ""size"" alone.  The costume runs very small.  It would fit children size 4 and under, not size 4 to 6.
Other than the size being untrue, the material and overall look of the costume is wonderful.",mickey mouse costume,Negative
27488,B000089V7W,1.0,A12EB51OGBJK3Q,Way you too small,One Star,Negative
3125,B00001W0GC,1.0,A248J1T1WIP6XF,"too small, poor quality... the ears don't even fit, a complete waste of money.
wish i had returned it, will never purchase a costume or clothing from amazon again.",garbage,Negative
19171,B00007GDAL,2.0,A1XYY2M3NSY2U8,"First of all I want to say that it is a lovely, well-made wallet. The problem I have is while it has many slots, it doesn't close well when the slots are all or even mostly filled. The change purse clasp pops open and so does the snap closure. I am surprised that no else has reported these issues.",Does not live up to expectations,Negative
3127,B00001W0GC,1.0,A13TEQ2BC9DQB1,"Costume not as pictured - poor quality, overpriced, size information deceiving - my 2 year old ""string bean"" could not fit into size 4 !- had to break his heart and return to the seller. Did not get my money back nor hear from anybody since over 1 month of returning the costume - will NEVER buy from this seller again!",The Worst Mickey Mouse Costume Expierience,Negative
20832,B0000865JR,1.0,AETG1PZPVNJWT,Waist band very  constricted.,Buy at least one or two sizes larger. I am about 175 and the queen sizewaist is very tight and uncomfotable.,Negative
3097,B00001W0GC,1.0,A1QEXWMENQPQVQ,"My son is 3 years old and wears a size 3T.  He's about 34 lbs and 37 1/2 inches tall.  He is not tall, or heavy, actually is is on the smaller-side according to my pediatrician.  That said, I bought a size 4-6x, based on the advice in other reviews.  This is waaaay to small.  I will need to return it.  The jumpsuit/costume is exactly the right length for his height, but it is tight all over.  And because the fabric is so flimsy, my son would need to wear street clothes under it, which would make it even tighter.  Also, the ears hat is so small the ties wouldn't reach under his chin!  It looked ridiculous...Like it was made for a doll.  I am not happy with this costume and I will be returning it right away.  I advise not even trying it.  Don't buy it, if your little wants to dress up like Mickey Mouse, find another costume/brand.  This one is terrible.",RUNS VERY SMALL!,Negative
3096,B00001W0GC,2.0,A90IS199OANMU,The costume states that it's a child size 4-6 (small) when in reality it's 4T-6T. Those are two COMPLETELY different sizes. My son looks like pee wee herman in this costume. I called the company and the only way they will refund my money for the full amount is to exchange it for a different product on their website. Otherwise you only get back half of what you paid for. So I went to their website and they literally don't have anything worth my while. So instead I ended up cutting the pants and making them into shorts for my son to wear for Halloween.,"Cute costume, but description not accurate.",Negative
3095,B00001W0GC,1.0,A1TCRNW3VAQT11,"This product was awful. My son is a young 4.  He could not fit his clothes on underneath it. The Mickey hat only fit on the back of his head and didn't even cover the top of his head.  The product stuck to itself and didn't ""flow"".  Looks super cute on the boy in the picture, but nothing close to the reality of what it looks like in person. My son was so sad he could not be Mickey for Halloween. Huge disappointment. :(",Not true to size,Negative
24720,B0000891IO,1.0,A2XG0LG5GRGDDW,I am returning these.  I didn't even take them out of the package. One look and feel told me that these pantyhose were way too thin and fragile.  I  was afraid they would snag and/or run the first time I wore them.  I need something a little more durable.  I will be looking for something else.,I am returning these. I didn't even take them ...,Negative
24719,B0000891IO,2.0,AH6REGJGGJEFV,The letter should have sizes connected to it.,Two Stars,Negative
23789,B000087S01,2.0,AF51V8HUL2QBL,I order these boots in 10.5 for my son but when it arrive the box said 10.5 but the boot is 10 wrong size,Wrong size,Negative
4782,B00004U3LF,1.0,A1765TJTIGWUIS,"The neck piece, just under the rope, in no way goes out to the shoulders and down the chest. It barely shows beneath the rope. Like the other reviews the hat is a joke. The picture shows a large pointed crown. The hat in the package is closer to a bowler. The material is cheap. It'll do the job but certainly wasn't worth the $50. I bought Burlap to cover the head piece and will use liquid latex to add the burlap texture to my face.",Picture is misleading,Negative
7517,B00006XXGO,1.0,AY4ZMCZ8SIVCW,The shoe is very long in the toe everybody said it looked like a clown shoes on methey are made improperly  and shoe size is only a 7looked like I had a size ten on  never buy from them again,... very long in the toe everybody said it looked like a clown shoes on methey are made improperly and ...,Negative
3069,B00001W0F2,1.0,ACELAVYSND4FU,"Only got the suit but there was no chest plate, shoe covers, or face mask! Huge waste of money",Huge waste of money,Negative
3070,B00001W0F2,1.0,ANY73ZNYRA3P5,"It says that it comes with the suit, mask, booties, and chest muscle. I only got the suit. Nothing else.","It says that it comes with the suit, mask ...",Negative
24718,B0000891IO,1.0,A1DGYVCZHU0HQO,Returned,One Star,Negative
24717,B0000891IO,1.0,A3DULQJOWV43NW,"I am disappointed. They are too thick, too shiny, and too heavy for summer wear.",One Star,Negative
3073,B00001W0F2,1.0,A12GJPP8ON1ME1,"Great Costume, How ever I did not received either of the face hood, the shoe covering or the chest pad, What a disappointment for me and especially my son who is only six. I had to order this item again,because he really love it when he tried it on,(he ask for the rest of the parts)  I really hope that this time I get all the extra parts that should be included in this order to make it a completed Spider man suit.","Great Costume, How ever I did not received either ...",Negative
3074,B00001W0F2,1.0,A252JWT3UDSXYH,this was way to small and i brought a size up,One Star,Negative
3075,B00001W0F2,1.0,AFYOHHP9DL6ZO,"I Purchased is this a special surprise for my three-year-old son. When it came in the mail it was missing the boots for the costume, the mask, and the chest plate. Basically we received 1/5 of the expected costume. You can imagine his disappointment!!! How can a costume miss so many parts?! Extremely unhappy and frustrated.",Missing parts,Negative
17992,B00007GDDD,2.0,A1DXBJMJAZ109B,I thought I would love this wallet; it has so much room for a small/mid size wallet. the two flap will hold credit cards but if you open it up the flap are now upside down and stuff will fall out. It will hold a iphone 4. It will hold a lot of stuff. another problem I had was trying to find my stuff. don't like it. brought me another wallet instead.,every thing will fall out,Negative
3077,B00001W0F2,2.0,A6IRL261UWR07,I did not receive the fabric hood or shoe covers that go with the Spiderman jumpsuit. Very disappointed.,Very disappointed.,Negative
7514,B00006XXGO,1.0,A2W7M3677FYWNU,"Ordered the men's size 5 so that my daughter got her women's size 7, like all real chucks are, right? Wrong! Came as a men's size 5, women's size 6.5. Sending them back immediately...we will see if I actually get a refund,.",Sizing is wrong,Negative
7513,B00006XXGO,2.0,A1HIQDWC95WY0V,"Great style terrible quality.

After the 4th time wearing them, the glue where the shoe bends (ball of the foot) has separated. It's been getting progressively worse. While converse have never been the most comfortable shoe, in my opinion, these are little more than hard rubber, glue and cheap canvas.",The 90's are gone and it took quality with it.,Negative
17995,B00007GDDD,2.0,A3N49EAIARWB5T,The wallet has 2 flaps and after about 1 week of use the fastener under the upper flap is pulling away from the leather.  I noticed it was a little tight to fasten and unfasten and then it began to tear loose.  Very disapointed,disapointed,Negative
24714,B0000891IO,1.0,A3AVR1FJ4Z3XVN,Was able to wear exactly once. Halfway through the day there were runs in the thigh area. The cheap stockings I bought at Wal-Mart lasted longer.,Was able to wear exactly once. Halfway through the ...,Negative
12548,B00006XXGO,1.0,A3NUA5DAVLYII0,I did not notice an increase in milk supply anymore than just taking fenugreek supplements and eating oatmeal.,One Star,Negative
24713,B0000891KM,2.0,A1U8S4VXX2ZDCJ,"I am 5'3"" and about 200.  Based on the size chart, I ordered the largest size and they BARELY fit.  Could have been a tad longer, which is bad considering I'm a short person, and any snugger and I wouldn't have been able to wear them.  And after only wearing once, they got a huge snag in them.  Not just a teeny hole, but a huge snag that ran all the way down the leg.  The only reason I gave 2 stars instead of one is that the color was as expected.",Terrible sizing and quality,Negative
20177,B0000865JR,1.0,A30SYGKSH4RSX3,Far far too dark. They were supposed to be off black. They were as black as some leggings I own.,Color doesnt match,Negative
6477,B00006CFCX,1.0,A1LCCMH7MHQYEN,"If you are expecting to get what is in the picture, think again! It was just the robe. :( so not worth 40$ I sent it back and wore an old costume from a few years back.",Doesn't come with the horns!!,Negative
23800,B000087S01,1.0,A20MBDJ3JOD1UO,Wrong size.  Came as a toddler size instead of youth size.,Wrong size. Came as a toddler size instead of ...,Negative
6478,B00006CFCX,2.0,A3QD94LJ8QF0W4,It's fine somewhat cheap material.,Two Stars,Negative
18005,B00007GDAL,2.0,A22M69O8QPUULH,"Its a little stiff but what do you expect its not leather, other than that its OK",Two Stars,Negative
20178,B0000865JR,1.0,A3J4CX6XWKWVS8,Can't wear went in garbage.,One Star,Negative
10760,B000072US4,1.0,A1AFYOZP2H5RW9,Almost two sizes too big.,One Star,Negative
27510,B000089V7W,1.0,A1D5HL9CILYD0G,The size no matches with the info in website,One Star,Negative
13784,B00006XXGO,1.0,A3FLLVNCONMHA6,"They are converse, and they provide what you want from a converse. The pair arrived in time and well cared.

Update: In less than 4 months, both's glue started to fail, making a mouth where my feet's fingers came out... Super dissapointed about the quality....",As Expected,Negative
27486,B000089V7W,1.0,A2R6A7WV08XSV,Way too large.  I am a women's size 5-5.5 and the children's 3 was too big.  I know converse runs small so I thought a 3 would be small enough.  Probably should have gone with a 2.5 Went with Vans instead and am definitely more pleased with the fit and style.,5 Went with Vans instead and am definitely more pleased with the fit and style,Negative
3063,B00001W0GC,1.0,ATLOJ3677YB9K,I have to pay an overcharge so i am very disapoint with your rervice. I have to pay 25 euros. I am very disapointed,overcharge,Negative
26156,B0000891KM,1.0,A7GQDAO1KOFP6,"Thought ""barely there"" meant light colored. They are too dark for winter for my skin color :(",Guess I misunderstood,Negative
24706,B0000891KM,1.0,A1TQH5SIFB46WE,These tear easily. I didn't even wear them once without them completely ripping up. They suck! I would not waste your money on these.,Don't buy these!!,Negative
27449,B000089V7W,1.0,A13WTM86NDVLXK,These may be wide for Converse shoes but not wide enough for my grand baby -- had to return them.,Never again - too narrow,Negative
3170,B00001W0F2,1.0,A279NEUASQWH45,"This beautiful costume was a birthday gift for my 5 yr old grandson. On Day 1, the stitching started coming out. By Day 9, the zipper was broken, the muscles were ruined and the costume had been mended three times. I strongly advise against this purchase. It is beautiful but not designed to be worn.",Demolished in 9 Days,Negative
20806,B0000865JR,1.0,AR5P1MIWZOOPI,"I bought the correct size for my height and weight, yet they do not come close to fitting. The legs were too short in comparison to the long torso section. I'm quite disappointed with this product.",I'm quite disappointed with this product,Negative
23845,B000087S01,1.0,A29BMRTVQ1LGRY,I thought they were for me im 17 years old and those are like for a 8 months old like damm,... for me im 17 years old and those are like for a 8 months old like,Negative
3173,B00001W0F2,1.0,A2R1RO0TMQ6MOO,"I purchased this costume because it said it included shoe covers.  That's all my son talks about....needing shoe covers!  When it came, it was a regular costume with no shoe covers.  I'm sure the costume itself is fine, but I did not get what I paid for.
When I sent a complaint e-mail, I received no response from this seller.",Disappointed,Negative
7453,B00006XXGO,2.0,A3IE4K6Z4QOA76,Fell apart only after a few months of wearing. I have owned converse for 9+ years and have had them last.,Fell apart only after a few months of wearing. ...,Negative
13725,B00006XXGO,1.0,A10Y8710J8HNQJ,"So disappointed, shoe I received was not the shoe in the photo and description. Ordered the black canvas with white rubber sole and received the black canvas with black sole. Also, it came in a non-descript brown cardboard box...not sure if these are even the real thing.","So disappointed, shoe I received was not the shoe in ...",Negative
